Event,Linear_weight,,,,
home_run,1.374328827,,,,
triple,1.05755625,,,,
double,0.766083123,,,,
single,0.467292971,,,,
ball,0.063688329,,,,
hit_by_pitch,0.063688329,,,,
blocked_ball,0.063688329,,,,
foul,-0.038050274,,,,
foul_tip,-0.038050274,,,,
bunt_foul,-0.038050274,,,,
bunt_foul_tip,-0.038050274,,,,
called_strike,-0.065092516,,,,
swinging_strike,-0.118124936,,,,
swinging_strike_blocked,-0.118124936,,,,
force_out,-0.195568767,,,,
grounded_into_double_play,-0.195568767,,,,
fielders_choice_out,-0.195568767,,,,
fielders_choice,-0.195568767,,,,
field_out,-0.195568767,,,,
double_play,-0.195568767,,,,
sac_fly,-0.236889646,,,,
field_error,-0.236889646,,,,
sac_fly_double_play,-0.789788814,,,,
triple_play,-0.789788814,,,,
,,,,,
,,,,,